id,number,title,user,state,created_at,updated_at,closed_at,merged_at,merge_commit_sha,additions,deletions,changed_files,comments,review_comments,labels,num_labels,commits_behind_main,commits_ahead_main,lines_changed,time_open_days,is_merged,is_forked,source_repo,is_draft,is_locked,is_needs_qa
2227965565,1379,AP-6346 Corrected event properties to camelCase.  Fixed excludedParameters of  polymorphism fields TMF738_Revenue_Sharing_Models,rochanam,open,2024-12-11 04:50:14+00:00,2025-02-26 07:25:08+00:00,,,,15,18,13,3,0,"['schemas', 'api', 'TMF738_Revenue_Sharing_Models']",3,612,2,33,127,False,False,,False,False,False
2223135544,1376,AP-6412 Added termOrCondition field to Agreement for T&Cs that apply universally across the entire agreement TMF651_Agreement,rochanam,open,2024-12-09 09:41:20+00:00,2025-04-09 13:01:56+00:00,,,,7,0,1,0,3,"['schemas', 'TMF651_Agreement']",2,612,1,7,129,False,False,,False,False,False
2207743182,1365,AP-6613 Ignore async artifact directory,joelrosario,open,2024-11-29 17:13:22+00:00,2025-01-22 22:09:31+00:00,,,1db383d94c126e6e4a61f39f2cf3e3b15f98cde7,2,1,1,0,0,[],0,617,1,3,138,False,False,,False,False,False
2201290323,1350,AP-3738 Tmf723 policy management,AndreasPolz,open,2024-11-26 15:31:25+00:00,2025-01-30 08:51:09+00:00,,,,10577,32349,225,2,0,"['schemas', 'api', 'TMF723_Policy_Management']",3,314,96,42926,142,False,False,,False,False,False
2200550306,1349,"AP-3265 Updated the TMF658 Loyalty Management API to Gen5 design guidelines, updated sample operations, etc",rochanam,open,2024-11-26 10:16:25+00:00,2025-03-21 10:15:18+00:00,,,,23241,1141,238,0,29,"['schemas', 'api', 'TMF670_Payment_Method', 'TMF658_Loyalty']",4,45,63,24382,142,False,False,,False,False,False
2193919828,1343,AP-3644 Tmf914 IoT service management migration,manjunathahubballi,open,2024-11-22 07:02:27+00:00,2025-01-22 21:51:58+00:00,,,,248951,1645,706,0,0,"['schemas', 'api']",2,765,46,250596,146,False,False,,False,False,False
2189091094,1340,AP-3210	TMF649 Performance Thresholding PR merge for conformance and postmand ,subhanshu-shukla-ril,open,2024-11-20 06:17:00+00:00,2025-04-11 06:58:40+00:00,,,9825d31ff338f881f69f0788fd3830fbd21cd715,19549,447,147,0,57,"['schemas', 'api', 'TMF640_Service_Activation', 'TMF924_DCS_5GSlice_Service_Activation', 'TMF628_Performance', 'TMF649_Performance_Thresholding']",6,0,13,19996,148,False,False,,False,False,False
2187562283,1331,Tmf702 resource activation management migration,rajneesh-ril,open,2024-11-19 13:16:12+00:00,2025-02-12 11:51:58+00:00,,,,55582,93,113,0,0,"['schemas', 'api', 'TMF924_DCS_5GSlice_Service_Activation', 'TMF702_Resource_Activation', 'TMF664_Resource_Function_Activation']",5,314,8,55675,149,False,False,,False,False,False
2178614178,1318,Tmf645 service qualification to address AP-3189,AmitaGiriya,open,2024-11-14 00:49:32+00:00,2025-03-07 02:13:26+00:00,,,,455,434,29,0,0,"['schemas', 'api', 'TMF645_Service_Qualification']",3,45,4,889,154,False,False,,False,False,False
2136115920,1292,AP-5965 Added ProductOperationalState,florintene,open,2024-10-21 13:32:27+00:00,2025-01-22 17:44:53+00:00,,,2b419ab74bfebb54dd2edc67c8773f7fabc81234,29,0,9,0,0,"['schemas', 'api']",2,1069,10,29,178,False,False,,False,False,False
2115479557,1279,Tmf675 geographic location,knutaa,open,2024-10-09 14:42:31+00:00,2025-04-01 14:47:24+00:00,,,eb8105de97adfc81b502fdd876b63f947aa8cd86,888,42,23,1,0,"['schemas', 'api', 'TMF675_Geographic_Location']",3,7,10,930,190,False,False,,False,False,False
2107581836,1277,Update master branch with TMF670 feedback changes,abbeydom,open,2024-10-04 13:21:43+00:00,2025-03-26 11:28:48+00:00,,,,2383,2919,44,6,0,"['schemas', 'api', 'TMF670_Payment_Method']",3,7,37,5302,195,False,False,,False,False,False
2080961221,1256,AP-3364 TMF674 Geographic Site: Ready for Pierre Review,sharrop,open,2024-09-19 13:09:33+00:00,2025-04-01 11:41:13+00:00,,,,1159,298,27,1,42,"['schemas', 'api', 'TMF648_Quote', 'TMF656_Service_Problem', 'TMF640_Service_Activation', 'TMF673_Geographic_Address', 'TMF674_Geographic_Site', 'TMF924_DCS_5GSlice_Service_Activation', 'TMF646_Appointment', 'TMF935_Wholesale_Carrier_Ethernet', 'TMF622_Product_Ordering', 'TMF637_Product_Inventory', 'TMF663_Shopping_Cart', 'TMF679_Product_Offering_Qualification', 'TMF760_Product_Configuration', 'TMF691_Federated_ID', 'TMF638_Service_Inventory', 'TMF641_Service_Ordering', 'TMF645_Service_Qualification', 'TMF642_Alarm', 'TMF696_Risk_Management', 'TMF675_Geographic_Location', 'TMF697_Work_Order', 'TMF700_Shipping_Order']",24,7,14,1457,210,False,False,,False,False,False
